latitud,longitud,comp_n,comp_e
8,-81,0.0108,0.0209
8,-80,0.0106,0.0201
8,-79,0.0114,0.0204
8,-78,0.0121,0.0202
8,-77,0.0118,0.0184
8,-76,0.0116,0.0138
8,-75,0.0134,0.0089
8,-74,0.0133,0.0078
8,-73,0.0135,0.0061
8,-72,0.0131,0.0048
8,-71,0.0122,0.0007
8,-70,0.0124,0.0007
8,-69,0.0121,0.001
8,-68,0.0129,0.0031
8,-67,0.0117,-0.0003
8,-66,0.0117,0
8,-65,0.0118,0.0003
8,-64,0.0121,0
8,-63,0.0122,0.0001
8,-62,0.012,-0.0007
8,-61,0.0122,-0.0017
8,-60,0.0119,-0.0026
8,-59,0.0116,-0.0034
7,-78,0.0119,0.0203
7,-77,0.0131,0.0101
7,-76,0.0138,0.0089
7,-75,0.0142,0.0063
7,-74,0.0144,0.006
7,-73,0.0135,0.0054
7,-72,0.013,0.0035
7,-71,0.011,-0.0017
7,-70,0.012,-0.0001
7,-69,0.0127,0.0015
7,-68,0.0127,0.0019
7,-67,0.0117,-0.0003
7,-66,0.0117,-0.0001
7,-65,0.0117,-0.0007
7,-64,0.0121,-0.0001
7,-63,0.0122,-0.0001
7,-62,0.0122,-0.0016
7,-61,0.0121,-0.0019
7,-60,0.0116,-0.0034
7,-59,0.0116,-0.0034
7,-58,0.0116,-0.0033
6,-78,0.013,0.01
6,-77,0.0144,0.0044
6,-76,0.0145,0.0049
6,-75,0.0143,0.0043
6,-74,0.014,0.0042
6,-73,0.0134,0.0033
6,-72,0.0123,0.0017
6,-71,0.0113,0.0005
6,-70,0.0116,0.0009
6,-69,0.0119,0.0011
6,-68,0.0103,-0.0011
6,-67,0.0104,-0.001
6,-66,0.0117,-0.0001
6,-65,0.012,-0.0002
6,-64,0.0121,-0.0001
6,-63,0.0119,-0.0009
6,-62,0.0121,-0.0018
6,-61,0.012,-0.0021
6,-60,0.0116,-0.0033
6,-59,0.0117,-0.0033
6,-58,0.0116,-0.0034
6,-57,0.0115,-0.0036
6,-56,0.0118,-0.0032
6,-55,0.0118,-0.0032
6,-54,0.0119,-0.0033
5,-78,0.014,0.0058
5,-77,0.014,0.0048
5,-76,0.0142,0.0047
5,-75,0.0141,0.004
5,-74,0.0138,0.0029
5,-73,0.013,0.0014
5,-72,0.0115,0.0013
5,-71,0.0103,-0.0012
5,-70,0.0109,-0.0004
5,-69,0.012,0.0001
5,-68,0.012,0.0001
5,-67,0.0106,-0.0015
5,-66,0.0106,-0.0014
5,-65,0.0119,-0.0017
5,-64,0.012,-0.0017
5,-63,0.012,-0.0017
5,-62,0.012,-0.0019
5,-61,0.0115,-0.0033
5,-60,0.0116,-0.0033
5,-59,0.0117,-0.0034
5,-58,0.0116,-0.0032
5,-57,0.0117,-0.0033
5,-56,0.0118,-0.0032
5,-55,0.0118,-0.0034
5,-54,0.0119,-0.0033
5,-53,0.0121,-0.0035
5,-52,0.012,-0.0033
4,-78,0.0132,0.0057
4,-77,0.0135,0.0052
4,-76,0.0137,0.0042
4,-75,0.0137,0.0027
4,-74,0.0132,0.0016
4,-73,0.0118,-0.0004
4,-72,0.0101,-0.0025
4,-71,0.01,-0.0026
4,-70,0.0101,-0.0031
4,-69,0.0102,-0.003
4,-68,0.0102,-0.0024
4,-67,0.0103,-0.0024
4,-66,0.0105,-0.0025
4,-65,0.0112,-0.0012
4,-64,0.012,-0.0017
4,-63,0.0119,-0.0022
4,-62,0.0119,-0.0022
4,-61,0.0115,-0.0032
4,-60,0.0116,-0.0033
4,-59,0.0117,-0.0033
4,-58,0.0117,-0.0033
4,-57,0.0117,-0.0032
4,-56,0.0118,-0.0032
4,-55,0.0119,-0.0032
4,-54,0.0119,-0.0032
4,-53,0.012,-0.0033
4,-52,0.012,-0.0033
4,-51,0.012,-0.0031
3,-78,0.0129,0.0086
3,-77,0.0133,0.0053
3,-76,0.013,0.0037
3,-75,0.0131,0.0029
3,-74,0.0126,-0.0015
3,-73,0.01,-0.0033
3,-72,0.0101,-0.0033
3,-71,0.0102,-0.0033
3,-70,0.0104,-0.0033
3,-69,0.0104,-0.0029
3,-68,0.0105,-0.0028
3,-67,0.0103,-0.0023
3,-66,0.0105,-0.0024
3,-65,0.0111,-0.003
3,-64,0.0119,-0.0035
3,-63,0.0119,-0.0034
3,-62,0.0116,-0.0032
3,-61,0.0118,-0.0034
3,-60,0.0116,-0.0032
3,-59,0.0117,-0.0032
3,-58,0.0117,-0.0032
